Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/25/15,transport,transport,2015-10-25T19:19:36-04:00,2015-10-25T19:27:37-04:00,481,0.996,0,0
10/25/15,transport,transport,2015-10-25T19:46:11-04:00,2015-10-25T19:52:22-04:00,371,1.173,0,0
10/25/15,walking,walking,2015-10-25T19:52:22-04:00,2015-10-25T19:54:44-04:00,142,0.095,203,0
10/25/15,walking,walking,2015-10-25T20:38:26-04:00,2015-10-25T20:41:08-04:00,162,0.124,265,0
10/25/15,walking,walking,2015-10-25T21:00:28-04:00,2015-10-25T21:00:42-04:00,14,0.006,19,0
10/25/15,transport,transport,2015-10-25T21:05:05-04:00,2015-10-25T21:17:06-04:00,721,0.688,0,0
10/25/15,walking,walking,2015-10-25T21:17:06-04:00,2015-10-25T21:27:20-04:00,614,0.651,873,0
10/25/15,walking,walking,2015-10-25T21:28:00-04:00,2015-10-25T21:34:44-04:00,404,0.301,647,0
10/25/15,walking,walking,2015-10-25T22:02:39-04:00,2015-10-25T22:03:43-04:00,64,0.027,85,0
10/25/15,transport,transport,2015-10-25T22:02:47-04:00,2015-10-25T22:15:36-04:00,769,5.851,0,0
10/26/15,walking,walking,2015-10-26T08:09:03-04:00,2015-10-26T08:15:04-04:00,361,0.126,405,0
10/26/15,walking,walking,2015-10-26T09:00:04-04:00,2015-10-26T09:06:19-04:00,375,0.268,449,0
10/26/15,walking,walking,2015-10-26T09:06:19-04:00,2015-10-26T09:08:21-04:00,122,0.078,167,0
10/26/15,transport,transport,2015-10-26T09:20:08-04:00,2015-10-26T09:23:19-04:00,191,3.954,0,0
10/26/15,walking,walking,2015-10-26T09:23:19-04:00,2015-10-26T09:30:09-04:00,410,0.384,515,0
10/26/15,walking,walking,2015-10-26T09:32:10-04:00,2015-10-26T09:33:03-04:00,53,0.022,71,0
10/26/15,walking,walking,2015-10-26T11:47:20-04:00,2015-10-26T11:48:05-04:00,45,0.022,71,0
10/26/15,walking,walking,2015-10-26T12:04:07-04:00,2015-10-26T12:05:51-04:00,104,0.043,139,0
10/26/15,walking,walking,2015-10-26T13:01:26-04:00,2015-10-26T13:07:32-04:00,366,0.295,461,0
10/26/15,walking,walking,2015-10-26T13:16:48-04:00,2015-10-26T13:23:30-04:00,402,0.235,499,0
10/26/15,walking,walking,2015-10-26T13:25:40-04:00,2015-10-26T13:28:00-04:00,140,0.102,219,0
10/26/15,walking,walking,2015-10-26T14:16:14-04:00,2015-10-26T14:19:15-04:00,181,0.126,271,0
10/26/15,walking,walking,2015-10-26T18:12:04-04:00,2015-10-26T18:15:05-04:00,181,0.123,264,0
10/26/15,transport,transport,2015-10-26T18:33:57-04:00,2015-10-26T18:48:47-04:00,890,2.863,0,0
10/26/15,walking,walking,2015-10-26T18:48:47-04:00,2015-10-26T18:52:47-04:00,240,0.087,255,0
10/26/15,transport,transport,2015-10-26T18:52:48-04:00,2015-10-26T18:58:18-04:00,330,0.864,0,0
10/26/15,walking,walking,2015-10-26T18:58:18-04:00,2015-10-26T19:08:48-04:00,630,0.380,724,0
10/26/15,walking,walking,2015-10-26T21:11:14-04:00,2015-10-26T21:13:20-04:00,126,0.078,168,0
10/26/15,walking,walking,2015-10-26T21:24:54-04:00,2015-10-26T21:36:58-04:00,724,0.731,1058,0
10/26/15,transport,transport,2015-10-26T21:36:58-04:00,2015-10-26T21:50:59-04:00,841,1.207,0,0
10/26/15,walking,walking,2015-10-26T21:50:59-04:00,2015-10-26T21:56:33-04:00,334,0.270,484,0
10/26/15,walking,walking,2015-10-26T21:56:33-04:00,2015-10-26T21:56:52-04:00,19,0.008,26,0
10/27/15,walking,walking,2015-10-27T08:05:44-04:00,2015-10-27T08:10:34-04:00,290,0.194,416,0
10/27/15,walking,walking,2015-10-27T08:50:01-04:00,2015-10-27T08:57:15-04:00,434,0.395,530,0
10/27/15,transport,transport,2015-10-27T08:57:15-04:00,2015-10-27T09:13:16-04:00,961,4.040,0,0
10/27/15,walking,walking,2015-10-27T09:13:15-04:00,2015-10-27T09:23:44-04:00,629,0.527,706,0
10/27/15,walking,walking,2015-10-27T09:23:44-04:00,2015-10-27T09:24:07-04:00,23,0.009,31,0
10/27/15,walking,walking,2015-10-27T10:03:48-04:00,2015-10-27T10:05:59-04:00,131,0.081,174,0
10/27/15,walking,walking,2015-10-27T11:37:31-04:00,2015-10-27T11:40:10-04:00,159,0.104,222,0
10/27/15,walking,walking,2015-10-27T12:58:09-04:00,2015-10-27T12:58:58-04:00,49,0.021,65,0
10/27/15,walking,walking,2015-10-27T13:18:40-04:00,2015-10-27T13:22:30-04:00,230,0.154,331,0
10/27/15,walking,walking,2015-10-27T14:00:18-04:00,2015-10-27T14:01:46-04:00,88,0.038,121,0
10/27/15,walking,walking,2015-10-27T15:31:03-04:00,2015-10-27T15:35:03-04:00,240,0.156,334,0
10/27/15,transport,transport,2015-10-27T15:52:03-04:00,2015-10-27T15:59:24-04:00,441,3.367,0,0
10/27/15,walking,walking,2015-10-27T15:59:24-04:00,2015-10-27T16:03:39-04:00,255,0.254,342,0
10/27/15,walking,walking,2015-10-27T16:04:14-04:00,2015-10-27T16:04:29-04:00,15,0.006,20,0
10/27/15,walking,walking,2015-10-27T18:26:07-04:00,2015-10-27T18:29:34-04:00,207,0.134,287,0
10/27/15,cycling,cycling,2015-10-27T18:28:19-04:00,2015-10-27T18:36:04-04:00,465,0.815,0,0
10/27/15,walking,walking,2015-10-27T18:36:04-04:00,2015-10-27T18:46:37-04:00,633,0.405,639,0
10/27/15,walking,walking,2015-10-27T18:51:45-04:00,2015-10-27T18:53:10-04:00,85,0.035,113,0
10/27/15,walking,walking,2015-10-27T21:36:12-04:00,2015-10-27T21:38:34-04:00,142,0.088,189,0
10/27/15,walking,walking,2015-10-27T21:40:51-04:00,2015-10-27T21:58:44-04:00,1073,1.065,1658,0
10/27/15,walking,walking,2015-10-27T21:58:43-04:00,2015-10-27T21:59:40-04:00,57,0.019,61,0
10/27/15,walking,walking,2015-10-27T22:03:47-04:00,2015-10-27T22:03:59-04:00,12,0.005,16,0
10/27/15,walking,walking,2015-10-27T23:28:46-04:00,2015-10-27T23:29:00-04:00,14,0.006,19,0
10/28/15,walking,walking,2015-10-28T08:39:34-04:00,2015-10-28T08:45:12-04:00,338,0.240,516,0
10/28/15,walking,walking,2015-10-28T09:29:40-04:00,2015-10-28T09:36:23-04:00,403,0.361,484,0
10/28/15,transport,transport,2015-10-28T09:36:23-04:00,2015-10-28T09:49:24-04:00,781,3.962,0,0
10/28/15,walking,walking,2015-10-28T09:49:23-04:00,2015-10-28T09:56:57-04:00,454,0.460,618,0
10/28/15,walking,walking,2015-10-28T09:56:57-04:00,2015-10-28T09:57:42-04:00,45,0.019,60,0
10/28/15,walking,walking,2015-10-28T10:07:59-04:00,2015-10-28T10:10:05-04:00,126,0.078,167,0
10/28/15,walking,walking,2015-10-28T11:35:26-04:00,2015-10-28T11:38:13-04:00,167,0.104,222,0
10/28/15,walking,walking,2015-10-28T13:08:57-04:00,2015-10-28T13:10:55-04:00,118,0.049,157,0
10/28/15,walking,walking,2015-10-28T14:36:12-04:00,2015-10-28T14:39:57-04:00,225,0.144,309,0
10/28/15,walking,walking,2015-10-28T17:01:31-04:00,2015-10-28T17:01:57-04:00,26,0.011,35,0
10/28/15,walking,walking,2015-10-28T17:26:24-04:00,2015-10-28T17:31:51-04:00,327,0.101,215,0
10/28/15,walking,walking,2015-10-28T18:38:32-04:00,2015-10-28T18:40:16-04:00,104,0.058,187,0
10/28/15,transport,transport,2015-10-28T18:41:54-04:00,2015-10-28T18:55:13-04:00,799,4.031,0,0
10/28/15,walking,walking,2015-10-28T18:55:13-04:00,2015-10-28T19:01:49-04:00,396,0.321,719,0
10/28/15,walking,walking,2015-10-28T19:01:48-04:00,2015-10-28T19:02:25-04:00,37,0.016,49,0
10/28/15,walking,walking,2015-10-28T20:00:12-04:00,2015-10-28T20:00:53-04:00,41,0.017,55,0
10/28/15,walking,walking,2015-10-28T20:03:29-04:00,2015-10-28T20:05:48-04:00,139,0.134,262,0
10/28/15,walking,walking,2015-10-28T20:05:47-04:00,2015-10-28T20:08:07-04:00,140,0.100,214,0
10/28/15,transport,transport,2015-10-28T20:51:32-04:00,2015-10-28T21:11:12-04:00,1180,9.060,0,0
10/28/15,walking,walking,2015-10-28T21:11:11-04:00,2015-10-28T21:16:07-04:00,296,0.201,431,0
10/28/15,walking,walking,2015-10-28T22:00:19-04:00,2015-10-28T22:04:00-04:00,221,0.149,318,0
10/28/15,transport,transport,2015-10-28T22:14:53-04:00,2015-10-28T22:16:53-04:00,120,0.389,0,0
10/28/15,walking,walking,2015-10-28T22:17:31-04:00,2015-10-28T22:18:33-04:00,62,0.025,82,0
10/28/15,transport,transport,2015-10-28T22:36:42-04:00,2015-10-28T22:45:12-04:00,510,2.558,0,0
10/28/15,walking,walking,2015-10-28T22:46:25-04:00,2015-10-28T22:48:59-04:00,154,0.096,205,0
10/28/15,walking,walking,2015-10-28T23:00:32-04:00,2015-10-28T23:05:51-04:00,319,0.165,353,0
10/28/15,transport,transport,2015-10-28T23:41:31-04:00,2015-10-28T23:58:59-04:00,1048,8.835,0,0
10/29/15,walking,walking,2015-10-29T00:03:14-04:00,2015-10-29T00:09:42-04:00,388,0.267,572,0
10/29/15,walking,walking,2015-10-29T09:22:11-04:00,2015-10-29T09:26:32-04:00,261,0.173,365,0
10/29/15,walking,walking,2015-10-29T09:26:32-04:00,2015-10-29T09:27:48-04:00,76,0.035,114,0
10/29/15,walking,walking,2015-10-29T09:46:34-04:00,2015-10-29T09:52:07-04:00,333,0.249,496,0
10/29/15,walking,walking,2015-10-29T09:52:07-04:00,2015-10-29T09:52:50-04:00,43,0.019,62,0
10/29/15,transport,transport,2015-10-29T10:00:20-04:00,2015-10-29T10:13:32-04:00,792,4.363,0,0
10/29/15,walking,walking,2015-10-29T10:13:33-04:00,2015-10-29T10:21:07-04:00,454,0.325,662,0
10/29/15,walking,walking,2015-10-29T10:21:07-04:00,2015-10-29T10:21:11-04:00,4,0.002,5,0
10/29/15,walking,walking,2015-10-29T11:32:02-04:00,2015-10-29T11:33:01-04:00,59,0.024,78,0
10/29/15,walking,walking,2015-10-29T12:09:37-04:00,2015-10-29T12:12:08-04:00,151,0.094,201,0
10/29/15,walking,walking,2015-10-29T12:32:54-04:00,2015-10-29T12:41:03-04:00,489,0.333,543,0
