Date,Type,Name,Start,End,Duration
11/4/15,place,Place in Manhattan,2015-11-04T00:00:00-05:00,2015-11-04T09:13:12-05:00,33192
11/4/15,move,walking,2015-11-04T09:13:12-05:00,2015-11-04T09:16:44-05:00,212
11/4/15,move,walking,2015-11-04T09:16:44-05:00,2015-11-04T09:18:38-05:00,114
11/4/15,place,Place in Manhattan,2015-11-04T09:18:38-05:00,2015-11-04T09:30:43-05:00,725
11/4/15,move,transport,2015-11-04T09:30:43-05:00,2015-11-04T09:47:23-05:00,1000
11/4/15,move,walking,2015-11-04T09:47:23-05:00,2015-11-04T09:54:55-05:00,452
11/4/15,place,Place in Penn Station South,2015-11-04T09:54:56-05:00,2015-11-04T18:15:32-05:00,30036
11/4/15,move,transport,2015-11-04T18:15:32-05:00,2015-11-04T18:37:23-05:00,1311
11/4/15,move,walking,2015-11-04T18:37:23-05:00,2015-11-04T18:42:31-05:00,308
11/4/15,place,Place in Manhattan,2015-11-04T18:42:31-05:00,2015-11-04T18:50:33-05:00,482
11/4/15,move,walking,2015-11-04T18:50:33-05:00,2015-11-04T18:55:04-05:00,271
11/4/15,place,Place in Manhattan,2015-11-04T18:55:04-05:00,2015-11-04T21:28:43-05:00,9219
11/4/15,move,walking,2015-11-04T21:28:43-05:00,2015-11-04T21:33:32-05:00,289
11/4/15,place,Place in Manhattan,2015-11-04T21:33:33-05:00,2015-11-05T00:00:00-05:00,8787
11/5/15,place,Place in Manhattan,2015-11-05T00:00:00-05:00,2015-11-05T14:36:49-05:00,52609
